Clibadium alatum
Cotula moseleyi
Betula sunanensis
Eugenia quadrata
Magnolia shiluensis
Paphiopedilum tonsum
Homalium acuminatum
Magnolia nitida
Cyathocalyx olivaceus
Meryta sinclairii
Arrojadoa eriocaulis
Campnosperma zeylanica
Euphorbia benoistii
Tillandsia indigofera
Schumanniophyton problematicum
Platanthera zothecina
Hypericum theodori
Allophylus marquesensis
Portulaca sedifolia
Strobilanthes jennyae
Mansonia altissima
Heliotropium nigricans
Mimetes arboreus
Spermacoce suberecta
Ceradenia melanopus
Synsepalum subverticillatum
Convolvulus massonii
Dioscorea hombuka
Cleyera grandiflora
Phragmipedium lindleyanum
Blechnum eburneum
Mammillaria hahniana
Dryopteris aitoniana
Pseudoacanthocereus sicariguensis
Rhodognaphalon brevicuspe
Quercus hypoxantha
Benthamia rostrata
Mammillaria humboldtii
Persea longipes
Dendrophorbium onae
Heteropanax yunnanensis
Jatropha hildebrandtii
Shorea cordata
Euphorbia pseudonudicaule
Scalesia affinis
Crossandra poissonii
Fraxinus latifolia
Gustavia dodsonii
Encephalartos bubalinus
Malpighia cubensis
Melicope knudsenii
Nepenthes bongso
Henriettea odorata
Hoya bhutanica
Magnolia crassipes
Pitcairnia stevensonii
Axinaea quitensis
Nirarathamnos asarifolius
Corryocactus brachypetalus
Costus montanus
Dendroseris regia
Mammillaria lasiacantha
Pritchardia aylmer-robinsonii
Amphithalea pageae
Lilium jankae
Empogona talbotii
Magnolia macrocarpa
Coussarea cephaëloides
Encephalartos heenanii
